BLOCKID,HOUSE
090035042001002, 1
090035245021002, 1
090035245022007, 1
090035246003005, 1
090035245012000, 1
090035246002002, 1
090035246003007, 1
090035035001005, 1
090035038001008, 1
090035042002004, 1
090035245021008, 1
090035246001006, 1
090035037002004, 1
090035014003001, 1
090035037001001, 1
090035245021006, 1
090035037002000, 1
090035245022000, 1
090035245021003, 1
090035014002003, 1
090035245022001, 1
090035037002003, 1
090035246001005, 1
090035245011001, 1
090035014002001, 1
090035042003000, 1
090035245012002, 1
090035245021005, 1
090035245021009, 1
090035246003008, 1
090035245022003, 1
090035042002005, 1
090035245021007, 1
090035042001005, 1
090035042001009, 1
090035037001006, 1
090035035001001, 1
090035033003000, 1
090035014002002, 1
090035245011002, 1
090035042003001, 1
090035038001010, 1
090035042001007, 1
090035042001004, 1
090035037002007, 1
090035033001001, 1
090035246002005, 1
090035035001000, 1
090035042001011, 1
090035245022002, 1
090035035001004, 1
090035035001002, 1
090035042002003, 1
090035037001004, 1
090035042001000, 1
090035037001002, 1
090035042002002, 1
090035246003006, 1
090035042002000, 1
090035246001002, 1
090035014003000, 1
090035042001010, 1
090035245011000, 1
090035245011003, 1
090035245022006, 1
090035031022002, 1
090035037001007, 1
090035042001006, 1
090035038001009, 1
090035042001008, 1
090035033001002, 1
090035018002004, 1
090035246002001, 1
090035245012003, 1
090035014001001, 1
090035037001005, 1
090035038001006, 1
090035033002000, 1
090035246002000, 1
090035245012001, 1
090035245022005, 1
090035246001007, 1
090035245022004, 1
090035042001003, 1
090035037002006, 1
090035038001007, 1
090035246001000, 1
090035042001001, 1
090035018003001, 1
090035245021004, 1
090035017001007, 1
090035246001001, 1
090035246002004, 1
090035014002000, 1
090035031011003, 1
090035246001004, 1
090035037002002, 1
090035037002008, 1
090035031022000, 1
090035037002001, 1
090035246002003, 1
090035031022001, 1
090035042002001, 1
090035246001003, 1
090035033001000, 1
090035245021000, 1
090035031023000, 1
090035014001002, 1
090035035001003, 1
090035014001000, 1
090035031021001, 1
090035245021001, 1
090035033003001, 1
090035037002005, 1
090012003021007, 2
090012105021014, 2
090012003012019, 2
090012105022014, 2
090012003012018, 2
090012003022000, 2
090012105021001, 2
090012105024017, 2
090012001001009, 2
090012001002015, 2
090012105023005, 2
090012105022007, 2
090012003024002, 2
090012002001007, 2
090012002003005, 2
090012105021010, 2
090012105023004, 2
090012003024004, 2
090012105021018, 2
090012105024003, 2
090012001001005, 2
090012105024012, 2
090012105022017, 2
090012002004004, 2
090012105022012, 2
090012105012023, 2
090012003024006, 2
090012105022021, 2
090012003021012, 2
090012002001000, 2
090012003021002, 2
090012003021003, 2
090012105012011, 2
090012105024015, 2
090012003021008, 2
090012002003006, 2
090012105012010, 2
090012003021013, 2
090012001001003, 2
090012001002000, 2
090012105021009, 2
090012002004000, 2
090012105021017, 2
090012105022001, 2
090012105022003, 2
090012105024011, 2
090012105012008, 2
090012003024003, 2
090012105011006, 2
090012003012020, 2
090012003023005, 2
090012002001010, 2
090012001001010, 2
090012105021006, 2
090012001001002, 2
090012001001007, 2
090012105023000, 2
090012105012024, 2
090012105024007, 2
090012002003001, 2
090012105024010, 2
090012105021011, 2
090012003023006, 2
090012001001013, 2
090012001001019, 2
090012002001005, 2
090012002002005, 2
090012001001022, 2
090012002001012, 2
090012105023001, 2
090012001002001, 2
090012002004001, 2
090012001002002, 2
090012105022000, 2
090012001001021, 2
090012105022008, 2
090012105012009, 2
090012002004003, 2
090012001001011, 2
090012001001006, 2
090012105012012, 2
090012105012014, 2
090012003023001, 2
090012108004008, 2
090012003012013, 2
090012105021013, 2
090012003024000, 2
090012105021007, 2
090012105024005, 2
090012003023011, 2
090012105012006, 2
090012003022001, 2
090012002001006, 2
090012001002011, 2
090012105022016, 2
090012003023013, 2
090012105021002, 2
090012003021006, 2
090012105022013, 2
090012105011009, 2
090012002001003, 2
090012105012007, 2
090012105024004, 2
090012003023009, 2
090012105012019, 2
090012001001014, 2
090012003024001, 2
090012106001011, 2
090012105024006, 2
090012105021000, 2
090012003023010, 2
090012105012025, 2
090012003012012, 2
090012003022003, 2
090012001001016, 2
090012105024013, 2
090012001001008, 2
090012105022011, 2
090012001001004, 2
090012002004008, 2
090012002003004, 2
090012105012016, 2
090012003024007, 2
090012105012021, 2
090012003021004, 2
090012003022004, 2
090012002001001, 2
090012105024009, 2
090012105022005, 2
090012001002019, 2
090012105021008, 2
090012105011013, 2
090012002002000, 2
090012002003003, 2
090012001001017, 2
090012003022008, 2
090012003024008, 2
090012105012005, 2
090012105022002, 2
090012003022002, 2
090012002003002, 2
090012001001001, 2
090012001002008, 2
090012105021004, 2
090012105012022, 2
090012105024008, 2
090012105021015, 2
090012002001008, 2
090012002001014, 2
090012001002012, 2
090012002001013, 2
090012003023008, 2
090012001001024, 2
090012106001012, 2
090012002004005, 2
090012002004002, 2
090012105021016, 2
090012105011011, 2
090012001002003, 2
090012001001018, 2
090012105023003, 2
090012105022004, 2
090012003023014, 2
090012003021011, 2
090012105021012, 2
090012105012004, 2
090012105022015, 2
090012105012015, 2
090012002004006, 2
090012105011010, 2
090012105011007, 2
090012001002014, 2
090012105022019, 2
090012105022020, 2
090012001001000, 2
090012001002013, 2
090012003023000, 2
090012105012017, 2
090012002004007, 2
090012003024005, 2
090012105012002, 2
090012002002003, 2
090012001001015, 2
090012001002007, 2
090012001002006, 2
090012003023002, 2
090012001002018, 2
090012003022005, 2
090012002002006, 2
090012105024014, 2
090012003023007, 2
090012003023003, 2
090012002001002, 2
090012105012020, 2
090012002002004, 2
090012105021005, 2
090012003021005, 2
090012105024002, 2
090012105024016, 2
090012002004009, 2
090012001002010, 2
090012002001009, 2
090012105012001, 2
090012105011014, 2
090012105022006, 2
090012108001020, 2
090012002002002, 2
090012002001004, 2
090012001001023, 2
090012001002016, 2
090012002003000, 2
090012106001010, 2
090012105023002, 2
090012108004009, 2
090012003023004, 2
090012105012013, 2
090012001002009, 2
090012001002004, 2
090012108003017, 2
090012003021000, 2
090012003021009, 2
090012105022010, 2
090012002002001, 2
090012001001020, 2
090012105022018, 2
090012105021003, 2
090012105011012, 2
090012105012000, 2
090012105012018, 2
090012001001012, 2
090012003012014, 2
090012001002005, 2
090012001002017, 2
090012105012003, 2
090012003022006, 2
090012105022009, 2
090012003022007, 2
090012003023012, 2
090012003012022, 2
090012003021001, 2
090012002001011, 2
090012003021010, 2
090012003012021, 2
090035049001009, 3
090035049001007, 3
090035041001006, 3
090035029001002, 3
090035049001013, 3
090035049001015, 3
090035247003018, 3
090035029002000, 3
090035043001013, 3
090035247003004, 3
090035043001012, 3
090035049003002, 3
090035245012008, 3
090035043001001, 3
090035029003003, 3
090035049001002, 3
090035045003002, 3
090035041001010, 3
090035049002001, 3
090035049003003, 3
090035041001001, 3
090035247003010, 3
090035247003014, 3
090035045003007, 3
090035029002005, 3
090035049003005, 3
090035247003020, 3
