BLOCKID,SENATE
090034921001033, 1
090035023005001, 1
090035049001009, 1
090035247002007, 1
090035049001007, 1
090039801001032, 1
090035004001017, 1
090035023005008, 1
090035041001006, 1
090034922001002, 1
090039801001029, 1
090035247002009, 1
090035001001004, 1
090034926005017, 1
090035021002036, 1
090035021002038, 1
090035021001061, 1
090035029001002, 1
090035021001039, 1
090034923005006, 1
090035049001013, 1
090034923004010, 1
090034922001013, 1
090035048002008, 1
090035049001015, 1
090035023005005, 1
090035021001020, 1
090035021002015, 1
090035025001002, 1
090034923001000, 1
090035026002008, 1
090035003001003, 1
090034926004002, 1
090035027003006, 1
090035025001020, 1
090034921002002, 1
090034923001002, 1
090034923002011, 1
090035023003008, 1
090035024001004, 1
090035247003018, 1
090039801001026, 1
090034921002024, 1
090034921002013, 1
090034921001010, 1
090035021001017, 1
090034926001003, 1
090034926005019, 1
090034926001010, 1
090034923001003, 1
090034924001017, 1
090035029002000, 1
090034923005011, 1
090035043001013, 1
090035021001029, 1
090035021002022, 1
090035023002010, 1
090035247003004, 1
090035247002001, 1
090035048003009, 1
090035048004009, 1
090035023003000, 1
090034924001003, 1
090035009001007, 1
090035043001012, 1
090035017001005, 1
090034923001004, 1
090035021002019, 1
090035048004002, 1
090035023004007, 1
090034925001024, 1
090035049003002, 1
090034923001022, 1
090034923003009, 1
090034922004002, 1
090035028002002, 1
090034925002005, 1
090034921002011, 1
090034921002031, 1
090035025001027, 1
090035004001010, 1
090035001001002, 1
090034922001012, 1
090035004001004, 1
090035021001033, 1
090035004001015, 1
090035043001001, 1
090034923003000, 1
090035026002011, 1
090034923003012, 1
090035029003003, 1
090035049001002, 1
090034921001016, 1
090034923005002, 1
090034921002029, 1
090035048003018, 1
090035009001001, 1
090035009001004, 1
090035018001006, 1
090034924002022, 1
090034923003018, 1
090035021002004, 1
090035021002041, 1
090035045003002, 1
090035041001010, 1
090035048002010, 1
090035048001009, 1
090034921001030, 1
090034923003007, 1
090035049002001, 1
090039801001030, 1
090035021001008, 1
090035023003005, 1
090035023004008, 1
090034921001000, 1
090035049003003, 1
090034923002000, 1
090034926005000, 1
090035023005000, 1
090034924002013, 1
090035001002002, 1
090035025001021, 1
090035041001001, 1
090035247003010, 1
090034925001014, 1
090034925001009, 1
090034924001009, 1
090035048004005, 1
090035247003014, 1
090035009001002, 1
090035021001028, 1
090034925001012, 1
090035045003007, 1
090035021001055, 1
090035029002005, 1
090034924002012, 1
090035002001003, 1
090035021002035, 1
090034924001021, 1
090034924001012, 1
090035049003005, 1
090035021002013, 1
090035247003020, 1
090035049001010, 1
090039801001024, 1
090035021001032, 1
090035048001004, 1
090035002001002, 1
090035025001001, 1
090035048001002, 1
090034923005012, 1
090034921001015, 1
090035021001031, 1
090035004001006, 1
090035048004008, 1
090035045002001, 1
090034921002010, 1
090035030001006, 1
090034923001014, 1
090035025001004, 1
090035021001044, 1
090035023003004, 1
090034925002008, 1
090035021001049, 1
090035023005007, 1
090034921001027, 1
090035030002009, 1
090035025001006, 1
090035021001025, 1
090035247003007, 1
090035004001002, 1
090034925001005, 1
090034924002003, 1
090034924001011, 1
090035030001001, 1
090035028002000, 1
090034924001018, 1
090034924002020, 1
090035023002003, 1
090035027002000, 1
090035027003001, 1
090035023005003, 1
090034922004004, 1
090035021002016, 1
090035003001005, 1
090034926004005, 1
090035247003012, 1
090034921002015, 1
090034921002000, 1
090035023002005, 1
090034925001002, 1
090035049002010, 1
090035045003008, 1
090034921002025, 1
090035002001000, 1
090035027002003, 1
090034924002011, 1
090035025001018, 1
090035001001003, 1
090034922001017, 1
090034925001000, 1
090035003002003, 1
090035003002002, 1
090035026002012, 1
090035023001007, 1
090035025001033, 1
090035021002042, 1
090035027002007, 1
090034922001005, 1
090034926002000, 1
090034926002014, 1
090035045001004, 1
090035048004001, 1
090034923001007, 1
090034921002007, 1
090035027003007, 1
090035027001003, 1
090035049002011, 1
090035004001003, 1
090035030001007, 1
090035245013000, 1
090034923001017, 1
090035024003008, 1
090039801001027, 1
090035049002012, 1
090035048001010, 1
090034922002018, 1
090035026001003, 1
090035027001004, 1
090035021001047, 1
090034922002006, 1
090034926001008, 1
090034921002033, 1
090035030002010, 1
090035043001003, 1
090035048003014, 1
090035026002007, 1
090034925001018, 1
090035045002005, 1
090034922001010, 1
090034922002017, 1
090034924002016, 1
090034924001016, 1
090035049001012, 1
090034922001004, 1
090035025001030, 1
090034926005018, 1
090034923003017, 1
090035029003000, 1
090035023003010, 1
090035021001057, 1
090035023002013, 1
090034922002010, 1
090034924001010, 1
090034925001004, 1
090034923002001, 1
090035247001005, 1
090035043001007, 1
090035024003009, 1
090035247003008, 1
090034921002030, 1
090035245012012, 1
090035245012006, 1
090035023004000, 1
090035018001003, 1
090034923003019, 1
090034921001002, 1
090035028001001, 1
090035023001005, 1
090035009001000, 1
090034923004009, 1
090035247001003, 1
090035017001008, 1
090034921002021, 1
090034925002011, 1
090035021001030, 1
090034926001002, 1
090034921001029, 1
090034923004001, 1
090034922001007, 1
090035048002001, 1
090034924002006, 1
090035021002037, 1
090035021001040, 1
090035021001010, 1
090034922001003, 1
090035023001002, 1
090034922003004, 1
090034923004005, 1
090034924002009, 1
090035021001005, 1
090035247003006, 1
090035004001011, 1
090035244002007, 1
090035025001007, 1
090035009001013, 1
090035003002001, 1
090035021001014, 1
090034925001007, 1
090035247001004, 1
090034925002006, 1
090035027003003, 1
090034921002027, 1
090035009001006, 1
090034921001031, 1
090035045001000, 1
090034923005001, 1
090035021001006, 1
090035245012010, 1
090034923005004, 1
090034923005007, 1
090035043001008, 1
090035021002031, 1
090035043001002, 1
090035024003005, 1
090034921002009, 1
090035021001027, 1
090035021002029, 1
090035027003000, 1
090035026001002, 1
090035026002003, 1
090035043001010, 1
090035021001007, 1
090034925001016, 1
090035027001001, 1
090035021002027, 1
090035043001009, 1
090035025001024, 1
090034925001003, 1
090034924002014, 1
090034923001013, 1
090035028001006, 1
090035021002023, 1
090035021001051, 1
090035021001016, 1
090035024001002, 1
090035021001063, 1
090035021001042, 1
090035024003007, 1
090034921001021, 1
090034926006006, 1
090034922001009, 1
